TeamNameSpelling,TeamID,,,TEAM,Lower,ID,,,,,,,,,,
am-corpus-chris,1394,,,LSU,lsu,1261,,,,,,,,Bowling Green,bowling green,1132
american,1110,,,UCLA,ucla,1417,,,,,,,,Bradley,bradley,1133
american u.,1110,,,Oregon,oregon,1332,,,,,,,,Brown,brown,1135
american univ,1110,,,Florida,florida,1196,,,,,,,,Bryant,bryant,1136
american university,1110,,,Oklahoma St.,oklahoma st.,1329,,,,,,,,Bucknell,bucknell,1137
american-university,1110,,,Memphis,memphis,1272,,,,,,,,Buffalo,buffalo,1138
appalachian st,1111,,,Georgia Tech,georgia tech,1210,,,,,,,,Butler,butler,1139
appalachian st.,1111,,,Missouri,missouri,1281,,,,,,,,BYU,byu,1140
appalachian state,1111,,,North Carolina,north carolina,1314,,,,,,,,Cal Poly,cal poly,1142
appalachian-st,1111,,,Oklahoma,oklahoma,1328,,,,,,,,Cal State Fullerton,cal state fullerton,1168
appalachian-state,1111,,,Duke,duke,1181,,,,,,,,California,california,1143
arizona,1112,,,Utah St.,utah st.,1429,,,,,,,,Cal Baptist,cal baptist,1465
arizona st,1113,,,Maryland,maryland,1268,,,,,,,,Campbell,campbell,1144
arizona st.,1113,,,Saint Louis,saint louis,1387,,,,,,,,Canisius,canisius,1145
arizona state,1113,,,VCU,vcu,1433,,,,,,,,Cent Arkansas,cent arkansas,1146
arizona-st,1113,,,Clemson,clemson,1155,,,,,,,,Central Conn,central conn,1148
arizona-state,1113,,,Penn St.,penn st.,1336,,,,,,,,Central Michigan,central michigan,1141
ark little rock,1114,,,Mississippi,mississippi,1279,,,,,,,,Charleston So,charleston so,1149
ark pine bluff,1115,,,Rutgers,rutgers,1353,,,,,,,,Charlotte,charlotte,1150
ark-pine-bluff,1115,,,Utah,utah,1428,,,,,,,,Chattanooga,chattanooga,1151
ark.-pine bluff,1115,,,Syracuse,syracuse,1393,,,,,,,,Chicago State,chicago state,1152
arkansas,1116,,,Seton Hall,seton hall,1371,,,,,,,,Cincinnati,cincinnati,1153
arkansas st,1117,,,Kentucky,kentucky,1246,,,,,,,,Clemson,clemson,1155
arkansas st.,1117,,,Virginia Tech,virginia tech,1439,,,,,,,,Cleveland State,cleveland state,1156
arkansas state,1117,,,Stanford,stanford,1390,,,,,,,,Coastal Carolina,coastal carolina,1157
arkansas-little rock,1114,,,Indiana,indiana,1231,,,,,,,,Charleston,charleston,1158
arkansas-little-rock,1114,,,Colgate,colgate,1159,,,,,,,,Colgate,colgate,1159
arkansas-pine bluff,1115,,,Georgetown,georgetown,1207,,,,,,,,Colorado,colorado,1160
arkansas-pine-bluff,1115,,,SMU,smu,1374,,,,,,,,Colorado State,colorado state,1161
arkansas-st,1117,,,North Carolina St.,north carolina st.,1301,,,,,,,,Columbia,columbia,1162
arkansas-state,1117,,,Xavier,xavier,1462,,,,,,,,Coppin State,coppin state,1164
armstrong,1118,,,Richmond,richmond,1350,,,,,,,,Cornell,cornell,1165
armstrong st,1118,,,Wright St.,wright st.,1460,,,,,,,,Creighton,creighton,1166
army,1119,,,Minnesota,minnesota,1278,,,,,,,,CSU Bakersfield,csu bakersfield,1167
army west point,1119,,,Boise St.,boise st.,1129,,,,,,,,CSU Northridge,csu northridge,1169
army-west-point,1119,,,Louisville,louisville,1257,,,,,,,,Dartmouth,dartmouth,1171
auburn,1120,,,Providence,providence,1344,,,,,,,,Davidson,davidson,1172
augusta,1121,,,UC Santa Barbara,uc santa barbara,1364,,,,,,,,Dayton,dayton,1173
augusta state,1121,,,Michigan St.,michigan st.,1277,,,,,,,,Delaware,delaware,1174
austin peay,1122,,,Drake,drake,1179,,,,,,,,Delaware State,delaware state,1175
austin-peay,1122,,,Saint Mary's,saint mary's,1388,,,,,,,,Denver,denver,1176
bakersfield,1167,,,Marquette,marquette,1266,,,,,,,,DePaul,depaul,1177
ball st,1123,,,Davidson,davidson,1172,,,,,,,,Detroit Mercy,detroit mercy,1178
ball st.,1123,,,Buffalo,buffalo,1138,,,,,,,,Dixie State,dixie state,1469
ball state,1123,,,Auburn,auburn,1120,,,,,,,,Drake,drake,1179
ball-st,1123,,,Wichita St.,wichita st.,1455,,,,,,,,Drexel,drexel,1180
ball-state,1123,,,Mississippi St.,mississippi st.,1280,,,,,,,,Duke,duke,1181
baylor,1124,,,Toledo,toledo,1405,,,,,,,,Duquesne,duquesne,1182
bellarmine,1468,,,St. John's,st. john's,1385,,,,,,,,East Carolina,east carolina,1187
belmont,1125,,,Oregon St.,oregon st.,1333,,,,,,,,E Illinois,e illinois,1183
bethune-cookman,1126,,,Ohio,ohio,1325,,,,,,,,E Kentucky,e kentucky,1184
binghamton,1127,,,Washington St.,washington st.,1450,,,,,,,,E Michigan,e michigan,1185
birmingham so,1128,,,Colorado St.,colorado st.,1161,,,,,,,,E Washington,e washington,1186
birmingham southern,1128,,,North Texas,north texas,1317,,,,,,,,Elon,elon,1189
birmingham-southern,1128,,,Northwestern,northwestern,1321,,,,,,,,ETSU,etsu,1190
boise st,1129,,,Notre Dame,notre dame,1323,,,,,,,,Evansville,evansville,1191
boise st.,1129,,,Arizona St.,arizona st.,1113,,,,,,,,Fairfield,fairfield,1193
boise state,1129,,,UAB,uab,1412,,,,,,,,Fairleigh Dickinson,fairleigh dickinson,1192
boise-st,1129,,,Winthrop,winthrop,1457,,,,,,,,FGCU,fgcu,1195
boise-state,1129,,,Louisiana Tech,louisiana tech,1256,,,,,,,,FIU,fiu,1198
boston,1131,,,Abilene Christian,abilene christian,1101,,,,,,,,FL Atlantic,fl atlantic,1194
boston college,1130,,,Furman,furman,1202,,,,,,,,Florida,florida,1196
boston u,1131,,,Grand Canyon,grand canyon,1213,,,,,,,,Florida A&M,florida a&m,1197
boston u.,1131,,,Dayton,dayton,1173,,,,,,,,Florida State,florida state,1199
boston univ,1131,,,Eastern Washington,eastern washington,1186,,,,,,,,Fordham,fordham,1200
boston university,1131,,,Liberty,liberty,1251,,,,,,,,Fresno State,fresno state,1201
boston-college,1130,,,Pepperdine,pepperdine,1337,,,,,,,,Furman,furman,1202
boston-u,1131,,,Western Kentucky,western kentucky,1443,,,,,,,,Ga Southern,ga southern,1204
boston-university,1131,,,Nebraska,nebraska,1304,,,,,,,,Gardner-Webb,gardner-webb,1205
bowling green,1132,,,Loyola Marymount,loyola marymount,1258,,,,,,,,George Mason,george mason,1206
bowling green state,1132,,,UCF,ucf,1416,,,,,,,,G Washington,g washington,1203
bowling-green,1132,,,Massachusetts,massachusetts,1269,,,,,,,,Georgetown,georgetown,1207
bowling-green-state,1132,,,San Francisco,san francisco,1362,,,,,,,,Georgia,georgia,1208
bradley,1133,,,Marshall,marshall,1267,,,,,,,,Georgia State,georgia state,1209
brigham young,1140,,,Pittsburgh,pittsburgh,1338,,,,,,,,Georgia Tech,georgia tech,1210
brigham-young,1140,,,Georgia,georgia,1208,,,,,,,,Gonzaga,gonzaga,1211
brooklyn,1134,,,UC Riverside,uc riverside,1415,,,,,,,,Grambling,grambling,1212
brown,1135,,,Missouri St.,missouri st.,1283,,,,,,,,Grand Canyon,grand canyon,1213
bryant,1136,,,Nevada,nevada,1305,,,,,,,,Green Bay,green bay,1453
bryant university,1136,,,Belmont,belmont,1125,,,,,,,,Hampton,hampton,1214
bucknell,1137,,,UC Irvine,uc irvine,1414,,,,,,,,Hartford,hartford,1216
buffalo,1138,,,Vanderbilt,vanderbilt,1435,,,,,,,,Harvard,harvard,1217
butler,1139,,,Rhode Island,rhode island,1348,,,,,,,,Hawai'i,hawai'i,1218
byu,1140,,,Vermont,vermont,1436,,,,,,,,High Point,high point,1219
c michigan,1141,,,Duquesne,duquesne,1182,,,,,,,,Hofstra,hofstra,1220
cal baptist,1465,,,TCU,tcu,1395,,,,,,,,Holy Cross,holy cross,1221
cal poly,1142,,,Pacific,pacific,1334,,,,,,,,Houston,houston,1222
cal poly slo,1142,,,Akron,akron,1103,,,,,,,,Houston Baptist,houston baptist,1223
cal riverside,1415,,,South Dakota St.,south dakota st.,1355,,,,,,,,Howard,howard,1224
cal st. fullerton,1168,,,UNC Greensboro,unc greensboro,1422,,,,,,,,Idaho,idaho,1225
cal st. northridge,1169,,,Kent St.,kent st.,1245,,,,,,,,Idaho State,idaho state,1226
cal st. bakersfield,1167,,,California,california,1143,,,,,,,,Illinois,illinois,1228
cal state bakersfield,1167,,,Cincinnati,cincinnati,1153,,,,,,,,Illinois State,illinois state,1229
cal state fullerton,1168,,,Indiana St.,indiana st.,1232,,,,,,,,Indiana,indiana,1231
cal state northridge,1169,,,DePaul,depaul,1177,,,,,,,,Indiana State,indiana state,1232
cal state-fullerton,1168,,,Tulsa,tulsa,1409,,,,,,,,Iona,iona,1233
cal-poly,1142,,,Weber St.,weber st.,1451,,,,,,,,Iowa,iowa,1234
cal-st-fullerton,1168,,,South Carolina,south carolina,1376,,,,,,,,Iowa State,iowa state,1235
cal-state-bakersfield,1167,,,Butler,butler,1139,,,,,,,,IUPUI,iupui,1237
cal-state-fullerton,1168,,,UTEP,utep,1431,,,,,,,,Jackson State,jackson state,1238
cal-state-northridge,1169,,,Temple,temple,1396,,,,,,,,Jacksonville,jacksonville,1239
cal. state - bakersfield,1167,,,East Tennessee St.,east tennessee st.,1190,,,,,,,,Jacksonville St,jacksonville st,1240
california,1143,,,Drexel,drexel,1180,,,,,,,,James Madison,james madison,1241
california baptist,1465,,,Mercer,mercer,1273,,,,,,,,Kansas,kansas,1242
california-davis,1413,,,Texas A&M,texas a&m,1401,,,,,,,,UMKC,umkc,1282
california-irvine,1414,,,George Mason,george mason,1206,,,,,,,,Kansas State,kansas state,1243
california-riverside,1415,,,Miami FL,miami fl,1274,,,,,,,,Kennesaw State,kennesaw state,1244
california-santa barbara,1364,,,Wofford,wofford,1459,,,,,,,,Kent State,kent state,1245
california-santa-barbara,1364,,,James Madison,james madison,1241,,,,,,,,Kentucky,kentucky,1246
campbell,1144,,,New Mexico St.,new mexico st.,1308,,,,,,,,La Salle,la salle,1247
canisius,1145,,,Morehead St.,morehead st.,1287,,,,,,,,Lafayette,lafayette,1248
cent arkansas,1146,,,South Dakota,south dakota,1377,,,,,,,,Lamar,lamar,1249
centenary,1147,,,Navy,navy,1298,,,,,,,,Lehigh,lehigh,1250
centenary (la),1147,,,Iona,iona,1233,,,,,,,,Liberty,liberty,1251
centenary-la,1147,,,Bryant,bryant,1136,,,,,,,,Lipscomb,lipscomb,1252
central ark.,1146,,,Santa Clara,santa clara,1365,,,,,,,,Little Rock,little rock,1114
central arkansas,1146,,,Georgia St.,georgia st.,1209,,,,,,,,LIU Brooklyn,liu brooklyn,1254
central conn,1148,,,Southern Utah,southern utah,1381,,,,,,,,Loyola Maryland,loyola maryland,1259
central conn. st.,1148,,,Cal St. Bakersfield,cal st. bakersfield,1167,,,,,,,,Long Beach St,long beach st,1253
central connecticut,1148,,,Bradley,bradley,1133,,,,,,,,Longwood,longwood,1255
central connecticut state,1148,,,Murray St.,murray st.,1293,,,,,,,,Louisiana,louisiana,1418
central florida,1416,,,Stephen F. Austin,stephen f. austin,1372,,,,,,,,Louisiana Tech,louisiana tech,1256
central florida(ucf),1416,,,Chattanooga,chattanooga,1151,,,,,,,,Louisville,louisville,1257
central mich.,1141,,,Jacksonville St.,jacksonville st.,1240,,,,,,,,Loyola-Chicago,loyola-chicago,1260
central michigan,1141,,,Bowling Green,bowling green,1132,,,,,,,,Loyola (MD),loyola (md),1259
central-ark,1146,,,Ball St.,ball st.,1123,,,,,,,,LSU,lsu,1261
central-arkansas,1146,,,North Dakota St.,north dakota st.,1295,,,,,,,,Maine,maine,1263
central-conn-st,1148,,,Oral Roberts,oral roberts,1331,,,,,,,,Manhattan,manhattan,1264
central-connecticut-state,1148,,,Washington,washington,1449,,,,,,,,Marist,marist,1265
central-florida,1416,,,Old Dominion,old dominion,1330,,,,,,,,Marquette,marquette,1266
central-mich,1141,,,Boston College,boston college,1130,,,,,,,,Marshall,marshall,1267
central-michigan,1141,,,Wake Forest,wake forest,1448,,,,,,,,Maryland,maryland,1268
charleston,1158,,,Northeastern,northeastern,1318,,,,,,,,UMass,umass,1269
charleston so,1149,,,Kansas St.,kansas st.,1243,,,,,,,,Mcneese,mcneese,1270
charleston so.,1149,,,UMBC,umbc,1420,,,,,,,,Memphis,memphis,1272
charleston southern,1149,,,Miami OH,miami oh,1275,,,,,,,,Mercer,mercer,1273
charleston-so,1149,,,Tulane,tulane,1408,,,,,,,,Merrimack,merrimack,1467
charleston-southern,1149,,,Bellarmine,bellarmine,1468,,,,,,,,Miami FL,miami fl,1274
charlotte,1150,,,Wyoming,wyoming,1461,,,,,,,,Miami (OH),miami (oh),1275
chattanooga,1151,,,UTSA,utsa,1427,,,,,,,,Michigan,michigan,1276
chicago st,1152,,,Eastern Kentucky,eastern kentucky,1184,,,,,,,,Michigan State,michigan state,1277
chicago st.,1152,,,UNLV,unlv,1424,,,,,,,,Middle Tennessee,middle tennessee,1292
chicago state,1152,,,Hofstra,hofstra,1220,,,,,,,,Milwaukee,milwaukee,1454
chicago-st,1152,,,VMI,vmi,1440,,,,,,,,Minnesota,minnesota,1278
chicago-state,1152,,,Gardner Webb,gardner webb,1205,,,,,,,,Mississippi State,mississippi state,1280
cincinnati,1153,,,Florida Atlantic,florida atlantic,1194,,,,,,,,Mississippi Valley State,mississippi valley state,1290
citadel,1154,,,Cleveland St.,cleveland st.,1156,,,,,,,,Missouri,missouri,1281
clemson,1155,,,Texas St.,texas st.,1402,,,,,,,,Missouri State,missouri state,1283
cleveland st,1156,,,Army,army,1119,,,,,,,,Monmouth,monmouth,1284
cleveland st.,1156,,,Northern Iowa,northern iowa,1320,,,,,,,,Montana,montana,1285
cleveland state,1156,,,Detroit,detroit,1178,,,,,,,,Montana State,montana state,1286
cleveland-st,1156,,,East Carolina,east carolina,1187,,,,,,,,Morehead State,morehead state,1287
cleveland-state,1156,,,South Florida,south florida,1378,,,,,,,,Morgan State,morgan state,1288
coastal car,1157,,,Iowa St.,iowa st.,1235,,,,,,,,Mt St Mary's,mt st mary's,1291
coastal caro.,1157,,,Siena,siena,1373,,,,,,,,Murray State,murray state,1293
coastal carolina,1157,,,Sam Houston St.,sam houston st.,1358,,,,,,,,NC A&T,nc a&t,1299
coastal-caro,1157,,,Montana,montana,1285,,,,,,,,NC Central,nc central,1300
coastal-carolina,1157,,,Southern Illinois,southern illinois,1356,,,,,,,,Navy,navy,1298
col charleston,1158,,,Utah Valley,utah valley,1430,,,,,,,,NC State,nc state,1301
col-of-charleston,1158,,,Fresno St.,fresno st.,1201,,,,,,,,Nebraska,nebraska,1304
col. of charleston,1158,,,Rice,rice,1349,,,,,,,,Nevada,nevada,1305
colgate,1159,,,Hartford,hartford,1216,,,,,,,,New Hampshire,new hampshire,1306
college of charlesto,1158,,,Hawaii,hawaii,1218,,,,,,,,New Mexico,new mexico,1307
college of charleston,1158,,,Austin Peay,austin peay,1122,,,,,,,,New Mexico St,new mexico st,1308
college-of-charleston,1158,,,Coastal Carolina,coastal carolina,1157,,,,,,,,New Orleans,new orleans,1309
colorado,1160,,,San Diego,san diego,1360,,,,,,,,Niagara,niagara,1310
colorado st,1161,,,Louisiana Lafayette,louisiana lafayette,1418,,,,,,,,Nicholls,nicholls,1311
colorado st.,1161,,,Morgan St.,morgan st.,1288,,,,,,,,NJIT,njit,1312
colorado state,1161,,,Loyola MD,loyola md,1259,,,,,,,,Norfolk State,norfolk state,1313
colorado-st,1161,,,Campbell,campbell,1144,,,,,,,,North Alabama,north alabama,1466
colorado-state,1161,,,Elon,elon,1189,,,,,,,,UNC,unc,1314
columbia,1162,,,Cal Baptist,cal baptist,1465,,,,,,,,North Dakota,north dakota,1315
connecticut,1163,,,Valparaiso,valparaiso,1434,,,,,,,,North Dakota State,north dakota state,1295
coppin st,1164,,,La Salle,la salle,1247,,,,,,,,North Florida,north florida,1316
coppin st.,1164,,,Saint Joseph's,saint joseph's,1386,,,,,,,,North Texas,north texas,1317
coppin state,1164,,,Seattle,seattle,1370,,,,,,,,Northeastern,northeastern,1318
coppin-st,1164,,,Delaware,delaware,1174,,,,,,,,Northern Arizona,northern arizona,1319
coppin-state,1164,,,Monmouth,monmouth,1284,,,,,,,,N Colorado,n colorado,1294
cornell,1165,,,Albany,albany,1107,,,,,,,,N Illinois,n illinois,1296
creighton,1166,,,Tarleton St.,tarleton st.,1470,,,,,,,,N Kentucky,n kentucky,1297
cs bakersfield,1167,,,Saint Peter's,saint peter's,1389,,,,,,,,Northwestern,northwestern,1321
cs fullerton,1168,,,Wagner,wagner,1447,,,,,,,,Northwestern State,northwestern state,1322
cs northridge,1169,,,Norfolk St.,norfolk st.,1313,,,,,,,,Notre Dame,notre dame,1323
cs sacramento,1170,,,Mount St. Mary's,mount st. mary's,1291,,,,,,,,Oakland,oakland,1324
csu bakersfield,1167,,,UMKC,umkc,1282,,,,,,,,Ohio,ohio,1325
csu northridge,1169,,,Prairie View A&M,prairie view a&m,1341,,,,,,,,Ohio State,ohio state,1326
csu-bakersfield,1167,,,Montana St.,montana st.,1286,,,,,,,,Oklahoma,oklahoma,1328
csun,1169,,,Texas Southern,texas southern,1411,,,,,,,,Oklahoma State,oklahoma state,1329
dartmouth,1171,,,Nicholls St.,nicholls st.,1311,,,,,,,,Old Dominion,old dominion,1330
davidson,1172,,,George Washington,george washington,1203,,,,,,,,Ole Miss,ole miss,1279
dayton,1173,,,Evansville,evansville,1191,,,,,,,,Omaha,omaha,1303
delaware,1174,,,South Alabama,south alabama,1375,,,,,,,,Oral Roberts,oral roberts,1331
delaware st,1175,,,Radford,radford,1347,,,,,,,,Oregon,oregon,1332
delaware st.,1175,,,Lipscomb,lipscomb,1252,,,,,,,,Oregon State,oregon state,1333
delaware state,1175,,,UC Davis,uc davis,1413,,,,,,,,Pacific,pacific,1334
delaware-st,1175,,,Northern Kentucky,northern kentucky,1297,,,,,,,,Penn,penn,1335
delaware-state,1175,,,Appalachian St.,appalachian st.,1111,,,,,,,,Penn State,penn state,1336
denver,1176,,,Milwaukee,milwaukee,1454,,,,,,,,Pepperdine,pepperdine,1337
depaul,1177,,,Illinois St.,illinois st.,1229,,,,,,,,Pitt,pitt,1338
detroit,1178,,,Lafayette,lafayette,1248,,,,,,,,Portland,portland,1339
detroit mercy,1178,,,Longwood,longwood,1255,,,,,,,,Portland State,portland state,1340
detroit-mercy,1178,,,Stetson,stetson,1391,,,,,,,,Prairie View A&M,prairie view a&m,1341
dixie st,1469,,,Northern Colorado,northern colorado,1294,,,,,,,,Presbyterian,presbyterian,1342
Dixie State,1469,,,UNC Wilmington,unc wilmington,1423,,,,,,,,Princeton,princeton,1343
drake,1179,,,Oakland,oakland,1324,,,,,,,,Providence,providence,1344
drexel,1180,,,College of Charleston,college of charleston,1158,,,,,,,,Purdue,purdue,1345
duke,1181,,,Samford,samford,1359,,,,,,,,Fort Wayne,fort wayne,1236
duquesne,1182,,,Charlotte,charlotte,1150,,,,,,,,Quinnipiac,quinnipiac,1346
e illinois,1183,,,The Citadel,the citadel,1154,,,,,,,,Radford,radford,1347
e kentucky,1184,,,Long Beach St.,long beach st.,1253,,,,,,,,Rhode Island,rhode island,1348
e michigan,1185,,,Stony Brook,stony brook,1392,,,,,,,,Rice,rice,1349
e washington,1186,,,Western Carolina,western carolina,1441,,,,,,,,Richmond,richmond,1350
east carolina,1187,,,UNC Asheville,unc asheville,1421,,,,,,,,Rider,rider,1351
east tenn. st.,1190,,,Youngstown St.,youngstown st.,1464,,,,,,,,Robert Morris,robert morris,1352
east tennessee st.,1190,,,Boston University,boston university,1131,,,,,,,,Rutgers,rutgers,1353
east tennessee state,1190,,,Green Bay,green bay,1453,,,,,,,,Sacramento State,sacramento state,1170
east-carolina,1187,,,Portland St.,portland st.,1340,,,,,,,,Sacred Heart,sacred heart,1357
east-tennessee-state,1190,,,Niagara,niagara,1310,,,,,,,,St Francis (PA),st francis (pa),1384
eastern ill.,1183,,,Arkansas St.,arkansas st.,1117,,,,,,,,Saint Joseph's,saint joseph's,1386
eastern illinois,1183,,,UMass Lowell,umass lowell,1262,,,,,,,,Saint Louis,saint louis,1387
eastern kentucky,1184,,,American,american,1110,,,,,,,,Saint Mary's,saint mary's,1388
eastern ky.,1184,,,LIU Brooklyn,liu brooklyn,1254,,,,,,,,St Peter's,st peter's,1389
eastern mich.,1185,,,Marist,marist,1265,,,,,,,,Sam Houston,sam houston,1358
eastern michigan,1185,,,UT Arlington,ut arlington,1426,,,,,,,,Samford,samford,1359
eastern wash.,1186,,,Little Rock,little rock,1114,,,,,,,,San Diego,san diego,1360
eastern washington,1186,,,Western Michigan,western michigan,1444,,,,,,,,San Diego State,san diego state,1361
eastern-ill,1183,,,Cal St. Fullerton,cal st. fullerton,1168,,,,,,,,San Francisco,san francisco,1362
eastern-illinois,1183,,,UC San Diego,uc san diego,1471,,,,,,,,San Jose State,san jose state,1363
eastern-kentucky,1184,,,Quinnipiac,quinnipiac,1346,,,,,,,,Santa Clara,santa clara,1365
eastern-ky,1184,,,Sacramento St.,sacramento st.,1170,,,,,,,,Seattle,seattle,1370
eastern-mich,1185,,,Canisius,canisius,1145,,,,,,,,Seton Hall,seton hall,1371
eastern-michigan,1185,,,Jackson St.,jackson st.,1238,,,,,,,,SF Austin,sf austin,1372
eastern-wash,1186,,,Bucknell,bucknell,1137,,,,,,,,Siena,siena,1373
eastern-washington,1186,,,Georgia Southern,georgia southern,1204,,,,,,,,SIUE,siue,1188
edwardsville,1188,,,Holy Cross,holy cross,1221,,,,,,,,SMU,smu,1374
elon,1189,,,Idaho St.,idaho st.,1226,,,,,,,,South Alabama,south alabama,1375
elon university,1189,,,High Point,high point,1219,,,,,,,,South Carolina,south carolina,1376
estern carolina,1441,,,Coppin St.,coppin st.,1164,,,,,,,,S Carolina St,s carolina st,1354
etsu,1190,,,Fairleigh Dickinson,fairleigh dickinson,1192,,,,,,,,South Dakota,south dakota,1377
evansville,1191,,,Southern Miss,southern miss,1379,,,,,,,,South Dakota State,south dakota state,1355
f dickinson,1192,,,Merrimack,merrimack,1467,,,,,,,,South Florida,south florida,1378
fairfield,1193,,,IUPUI,iupui,1237,,,,,,,,SE Missouri St,se missouri st,1369
fairleigh dickinson,1192,,,Southeast Missouri St.,southeast missouri st.,1369,,,,,,,,SE Louisiana,se louisiana,1368
fairleigh-dickinson,1192,,,Cal St. Northridge,cal st. northridge,1169,,,,,,,,USC,usc,1425
fgcu,1195,,,Fort Wayne,fort wayne,1236,,,,,,,,S Illinois,s illinois,1356
fiu,1198,,,UT Rio Grande Valley,ut rio grande valley,1410,,,,,,,,Southern Miss,southern miss,1379
fl atlantic,1194,,,FIU,fiu,1198,,,,,,,,Southern,southern,1380
fl gulf coast,1195,,,New Orleans,new orleans,1309,,,,,,,,Southern Utah,southern utah,1381
fla-atlantic,1194,,,New Hampshire,new hampshire,1306,,,,,,,,St Bonaventure,st bonaventure,1382
fla. atlantic,1194,,,North Dakota,north dakota,1315,,,,,,,,St Francis NY,st francis ny,1383
florida,1196,,,Middle Tennessee,middle tennessee,1292,,,,,,,,St John's,st john's,1385
florida a&m,1197,,,Louisiana Monroe,louisiana monroe,1419,,,,,,,,St. Thomas,st. thomas,9999
florida atlantic,1194,,,Illinois Chicago,illinois chicago,1227,,,,,,,,Stanford,stanford,1390
florida gulf coast,1195,,,Fairfield,fairfield,1193,,,,,,,,Stetson,stetson,1391
florida internationa,1198,,,North Florida,north florida,1316,,,,,,,,Stony Brook,stony brook,1392
florida international,1198,,,Western Illinois,western illinois,1442,,,,,,,,Syracuse,syracuse,1393
florida intl,1198,,,New Mexico,new mexico,1307,,,,,,,,Tarleton State,tarleton state,1470
florida st,1199,,,Rider,rider,1351,,,,,,,,TCU,tcu,1395
florida st.,1199,,,William & Mary,william & mary,1456,,,,,,,,Temple,temple,1396
florida state,1199,,,North Alabama,north alabama,1466,,,,,,,,Tennessee,tennessee,1397
florida-am,1197,,,Manhattan,manhattan,1264,,,,,,,,Tennessee St,tennessee st,1398
florida-atlantic,1194,,,Sacred Heart,sacred heart,1357,,,,,,,,Tennessee Tech,tennessee tech,1399
florida-gulf-coast,1195,,,Central Michigan,central michigan,1141,,,,,,,,Texas,texas,1400
florida-international,1198,,,Eastern Michigan,eastern michigan,1185,,,,,,,,Texas A&M,texas a&m,1401
florida-st,1199,,,Florida A&M,florida a&m,1197,,,,,,,,Texas Southern,texas southern,1411
florida-state,1199,,,Towson,towson,1406,,,,,,,,Texas State,texas state,1402
